VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
      0.136068034017009                    0.15                       0        1.11650932151237                       0                       0                       0                       0                       0       -4106.03928819879         -3715.022604564   1.84000776632014E-005       0.018039031790056        299.582782632771        301679.876782141      0.0563696157047455                    1007      0.0826696175942128        6691130.83891946                       0    5.0379994762829E-005        6.33376551151514 
      0.140070035017509                    0.15                       0        1.11649964110979                       0                       0                       0                       0                       0       -4106.58415926713       -3718.66639325522   1.84001201778701E-005      0.0179414458082744        299.583687946879        301680.775731616      0.0562570966526739                    1007      0.0825570985421412        6651389.48124062                       0   5.02794323094632E-005        6.32114026616847 
      0.144072036018009                    0.15                       0        1.11648996070721                       0                       0                       0                       0                       0       -4107.12903033548       -3722.31018194644   1.84001626925389E-005      0.0178438598264928        299.584593260986        301681.674681091      0.0561445776006023                    1007      0.0824445794900696        6611648.12356178                       0   5.01788698560974E-005         6.3085150208218 
      0.148074037018509                    0.15                       0        1.11648051896174                       0                       0                       0                       0                       0       -4107.66102338279        -3725.8428711426    1.8400204098889E-005      0.0177491691835661        299.585472011518        301682.551869685      0.0560350511661018                    1007      0.0823350527313067        6573096.52026013                       0   5.00809816174382E-005        6.29622655179633 
       0.15207603801901                    0.15                       0        1.11647166014314                       0                       0                       0                       0                       0       -4108.16156149364       -3729.10419662956   1.84002427981388E-005       0.017661550488992        299.586285879756        301683.375906703      0.0559328342860135                    1007      0.0822328347349358        6537450.92621311                       0   4.99896252250451E-005        6.28476066861289 
       0.15607803901951                    0.15                       0        1.11646280132454                       0                       0                       0                       0                       0       -4108.66209960449       -3732.36552211653   1.84002814973886E-005      0.0175739317944179        299.587099747994        301684.199943722      0.0558306174059252                    1007      0.0821306167385649        6501805.33216609                       0   4.98982688326521E-005        6.27329478542944 
       0.16008004002001                    0.15                       0        1.11645394250594                       0                       0                       0                       0                       0       -4109.16263771534       -3735.62684760349   1.84003201966384E-005      0.0174863130998439        299.587913616232         301685.02398074      0.0557284005258368                    1007      0.0820283987421939        6466159.73811906                       0    4.9806912440259E-005          6.261828902246 
       0.16408204102051                    0.15                       0        1.11644573066162                       0                       0                       0                       0                       0       -4109.62914416193       -3738.58844339162   1.84003552588193E-005      0.0174065820645427        299.588657747453        301685.767680715      0.0556344336318994                    1007      0.0819344317960763        6433753.04802401                       0   4.97229299451837E-005        6.25129125689554 
      0.168084042021011                    0.15                       0        1.11643755054283                       0                       0                       0                       0                       0       -4110.09398180536       -3741.53534140117   1.84003901426501E-005       0.017327237814635        299.589398458995        301686.507441221      0.0555408712906978                    1007      0.0818408694548748        6401505.18334167                       0   4.96393090422711E-005        6.24079912933724 
      0.172086043021511                    0.15                       0        1.11642937042404                       0                       0                       0                       0                       0       -4110.55881944879       -3744.48223941072    1.8400425026481E-005      0.0172478935647273        299.590139170537        301687.247201726      0.0554473089494963                    1007      0.0817473071136732        6369257.31865933                       0   4.95556881393585E-005        6.23030700177894 
      0.176088044022011                    0.15                       0        1.11642156439223                       0                       0                       0                       0                       0       -4111.00554036784       -3747.26752902819   1.84004582314546E-005      0.0171728427193429        299.590834815601        301687.952351176      0.0553582865388886                    1007      0.0816582847030655        6338770.92596298                       0   4.94761253699569E-005        6.22032530490251 
